,title,company,location,pay,rating,job
930,Senior Business Analyst - MBC,Martin Brower,"Mississauga, ON",,3.4,Data Analyst
931,newIT Business Analyst - Data/Process Mapping,Procom,"Toronto, ON",,3.6,Data Analyst
932,Senior Billing Analyst - Toronto,Randstad,"Hybrid remote in Toronto, ON",,3.7,Data Analyst
933,Business Analyst,SS&S Consulting Inc.,"Edmonton, AB","$57,886–$70,000 a year",,Data Analyst
934,"Data Loss Prevention Analyst, Markham - Markham",Randstad,"Markham, ON",,3.7,Data Analyst
935,Data Management - Data Analyst III - Calgary,Randstad,"Calgary, AB",,3.7,Data Analyst
936,Business System Analyst / Analyste affaires et de systèmes i...,Psycho Bunny,"Montréal, QC",,3.3,Data Analyst
937,newAviation Maintenance Analyst,CAMP Systems International,"Saint-Laurent, QC+1 location",,,Data Analyst
938,newBusiness Intelligence Analyst - Top Pay,Human Capital Department,"Surrey, BC",,,Data Analyst
939,Business Analyst II (Intermediate),Best Buy,"Burnaby, BC",,3.8,Data Analyst
940,Business Systems Analyst,Rural Municipalities of Alberta (RMA),"Nisku, AB",,,Data Analyst
941,Sr Salesforce Business Systems Analyst,Canada Life Assurance Company,"Toronto, ON",,3.7,Data Analyst
942,Client Relationship Analyst,"Connor, Clark & Lunn Financial Group","Vancouver, BC+1 location",,2.9,Data Analyst
943,"Analyst, Technology",Lowe's Canada,"Boucherville, QC",,3.5,Data Analyst
944,Functional Analyst - Verdun,Randstad,"Verdun, QC",,3.7,Data Analyst
945,Database Developer/Analyst,Canaccord Genuity Corp.,"Toronto, ON+1 location",,3.6,Data Analyst
946,"newBusiness Analyst, Supply Chain, Channel Management",The Home Depot Canada,"Toronto, ON",,3.7,Data Analyst
947,"newSenior Analyst, Business Performance",Amica Senior Lifestyles,"Remote in Toronto, ON",,3.2,Data Analyst
948,Systems and Inventory Control Analyst,Traffic Tech Inc.,"Mississauga, ON",,3.1,Data Analyst
949,Business Information Systems Analyst,Bourgault Industries,"St. Brieux, SK",,3.8,Data Analyst
950,newAviation Maintenance Analyst,Aston Carter,"Saint-Laurent, QC",$22–$35 an hour,3.3,Data Analyst
951,Business Analyst - Branch Exit Reporting,Aston Carter,"Toronto, ON",,3.3,Data Analyst
952,Information System Analyst – Sage X3,Panni Management and Tech Corp,"Remote in Calgary, AB","$70,000–$80,000 a year",,Data Analyst
953,newBusiness Systems Analyst / Software Tester - Victoria,Randstad,"Hybrid remote in Victoria, BC",,3.7,Data Analyst
954,Senior Sytems Analyst - Implementation Specialist,Procom,"Remote in Toronto, ON",,3.6,Data Analyst
955,"Intermediate Business Analyst, HR SW & Reporting",Procom,"Toronto, ON",,3.6,Data Analyst
956,"newBusiness Analyst (Trading, Capital Markets, UX/UI Design, Ag...",Teamrecruiter.com,"Toronto, ON",,,Data Analyst
957,Infrastructure Business Analyst,TES - The Employment Solution,"Regina, SK",,3.6,Data Analyst
958,newSenior Business Analyst,Procom,"Toronto, ON",,3.6,Data Analyst
959,newProject Manager Business Intelligence - North York,Randstad,"North York, ON",,3.7,Data Analyst
